Timestamp, Input Raw, Input Filtered, Output, Error
99840,0.202161,-1.59571,0,-1.59571
1173314,-0.106484,-1.51593,0.00114959,-1.51594
2234476,-0.269267,-1.44502,0.00660762,-1.44511
3295860,-0.128242,-1.36685,0.0096847,-1.36743
4359540,0.185238,-1.27337,0.00384787,-1.2751
5427145,0.33674,-1.17183,-0.00613639,-1.17506
6487844,0.205385,-1.07755,-0.0117214,-1.08093
7551099,-0.108095,-0.997766,-0.00822771,-0.998834
8614687,-0.269267,-0.92685,-9.90525e-05,-0.924439
9678145,-0.112125,-0.847875,0.00341084,-0.843417
10741622,0.17718,-0.755201,-0.00194324,-0.751501
11805117,0.339963,-0.653663,-0.0120489,-0.652137
12868557,0.201355,-0.558571,-0.0175026,-0.557828
13931922,-0.106484,-0.479597,-0.0134834,-0.476877
14995788,-0.266044,-0.408681,-0.00457557,-0.402597
16060098,-0.122601,-0.329707,-0.00010319,-0.321741
17122742,0.180403,-0.236227,-0.00514822,-0.229319
18186126,0.333516,-0.135495,-0.0150243,-0.131169
19249362,0.193297,-0.0412088,-0.0206538,-0.0380904
20313690,-0.116154,0.0377656,-0.0157553,0.0425935
21376204,-0.272491,0.0135898,-0.00494663,0.0215861
22439385,-0.11696,0.0135898,0.00102492,0.0232293
23503028,0.189267,0.0361538,-0.00369256,0.0441898
24566357,0.330293,0.0595238,-0.0140713,0.0641961
25643665,0.183626,0.0587179,-0.0198694,0.061507
26697902,-0.119377,0.0361538,-0.0149185,0.0403355
27763027,-0.269267,0.0127839,-0.00419,0.0201382
28824708,-0.11696,0.011978,0.00168147,0.0210549
29887777,0.186044,0.0345421,-0.00317577,0.0420707
30950458,0.337546,0.0571062,-0.0139432,0.0613187
32014564,0.189267,0.057912,-0.0199039,0.0603157
33077633,-0.120183,0.0345421,-0.0148384,0.0384491
34141166,-0.271685,0.0111721,-0.00393982,0.0183855
35204994,-0.107289,0.0111721,0.0015441,0.0201824
36269100,0.188461,0.0337363,-0.00357741,0.0412182
37331577,0.334322,0.0571062,-0.0143757,0.0612913
38401979,0.189267,0.0571062,-0.0202837,0.0595862
39458716,-0.118571,0.0345421,-0.0150628,0.0386292
40521693,-0.266044,0.011978,-0.00418057,0.0194197
41585410,-0.109707,0.011978,0.00134149,0.0212063
42648498,0.197326,0.035348,-0.0042027,0.0430058
43712290,0.335128,0.057912,-0.0150903,0.0622764
44776433,0.179597,0.057912,-0.0205926,0.0606113
45846242,-0.128242,0.0345421,-0.0148865,0.0389346
46903757,-0.270879,0.011978,-0.00373877,0.0197163
47966530,-0.10326,0.0127839,0.00156375,0.0221683
49029470,0.197326,0.0361538,-0.00412273,0.0437831
50092873,0.33674,0.0587179,-0.0151655,0.0629383
51156312,0.17718,0.0587179,-0.0205339,0.0612907
52219252,-0.1363,0.0345421,-0.0143921,0.0388633
53282729,-0.267656,0.011978,-0.00325199,0.0196707
54345391,-0.106484,0.0127839,0.00205847,0.022064
55409127,0.199744,0.0361538,-0.00389304,0.0435643
