Timestamp, Engine Raw, Chassis Raw, Output
307795,1.69915,1.70881,1.65799
1436550,1.69431,1.70076,1.67491
2529139,1.68948,1.70398,1.69183
3615357,1.69028,1.70479,1.68901
4700076,1.68787,1.70962,1.69747
5784886,1.68948,1.70801,1.69183
6873179,1.68867,1.71123,1.69465
7960490,1.69189,1.71606,1.68337
9048486,1.69189,1.71687,1.68337
10135593,1.69189,1.70962,1.68337
11220645,1.69351,1.71204,1.67773
12307604,1.69512,1.7072,1.67209
13394137,1.69753,1.70801,1.66363
14481522,1.69592,1.71123,1.66927
15568037,1.69592,1.71526,1.66927
16656144,1.69673,1.71526,1.66645
17771492,1.69109,1.70801,1.68619
18826470,1.68706,1.69673,1.70029
19910077,1.68867,1.69834,1.69465
20996499,1.68303,1.70317,1.71439
22081365,1.68787,1.70559,1.69747
23166176,1.68706,1.70801,1.70029
24250321,1.68625,1.69834,1.70311
25337243,1.68787,1.68867,1.69747
26425998,1.69109,1.69592,1.68619
27511142,1.69189,1.69753,1.68337
28599453,1.69592,1.70479,1.66927
29684968,1.69189,1.70559,1.68337
30773242,1.69028,1.69753,1.68901
31858423,1.69431,1.69431,1.67491
32945901,1.70237,1.69753,1.64671
34058748,1.69834,1.70156,1.66081
35120189,1.68867,1.70801,1.69465
36206796,1.68787,1.71284,1.69747
37293792,1.68948,1.70962,1.69183
38381474,1.69512,1.70398,1.67209
39467581,1.69109,1.70076,1.68619
40555688,1.68867,1.70398,1.69465
41640425,1.68787,1.71445,1.69747
42727218,1.68706,1.71445,1.70029
43852417,1.69028,1.71042,1.68901
44904432,1.69431,1.70237,1.67491
45993872,1.6927,1.70076,1.68055
47076646,1.69109,1.71445,1.68619
48161291,1.69028,1.71848,1.68901
49247065,1.70156,1.71768,1.64953
50331172,1.69995,1.70559,1.65517
51419242,1.69351,1.69351,1.67773
52525905,1.68787,1.69431,1.69747
53588160,1.68223,1.69512,1.71721
54671823,1.68303,1.70317,1.71439
55758986,1.68948,1.7064,1.69183
56846704,1.6927,1.69834,1.68055
57932811,1.68948,1.69189,1.69183
59019085,1.68706,1.69028,1.70029
60107526,1.68545,1.69673,1.70593
61193429,1.69109,1.7072,1.68619
62279703,1.68948,1.7072,1.69183
63367625,1.69834,1.70156,1.66081
64454603,1.68706,1.69915,1.70029
65541284,1.69753,1.70156,1.66363
66628299,1.69915,1.70559,1.65799
67714813,1.69512,1.71042,1.67209
68801347,1.69109,1.71929,1.68619
69888935,1.68948,1.70801,1.69183
70975598,1.68787,1.70156,1.69747
72062316,1.68545,1.70076,1.70593
73149572,1.68867,1.70559,1.69465
74236586,1.68867,1.71042,1.69465
75324620,1.69028,1.71365,1.68901
76411375,1.68706,1.71042,1.70029
77496149,1.6927,1.70479,1.68055
78581534,1.6927,1.70398,1.68055
79666104,1.69109,1.70801,1.68619
80750859,1.6927,1.71123,1.68055
81836893,1.6927,1.71042,1.68055
82922759,1.70076,1.7064,1.65235
84010033,1.69673,1.69592,1.66645
85098140,1.68948,1.69431,1.69183
86185266,1.69028,1.69673,1.68901
91381544,1.68867,1.69673,1.69465
91686820,1.69028,1.70076,1.68901
92766724,1.69109,1.69915,1.68619
93849646,1.6927,1.70962,1.68055
94926642,1.69028,1.71445,1.68901
96004620,1.69109,1.71204,1.68619
97084690,1.69351,1.70398,1.67773
98163408,1.69351,1.7064,1.67773
99243219,1.70156,1.71526,1.64953
100323493,1.70076,1.71606,1.65235
101402600,1.69109,1.71365,1.68619
102482652,1.68706,1.7072,1.70029
103561871,1.68787,1.7072,1.69747
104645070,1.68867,1.70479,1.69465
105725048,1.69109,1.70801,1.68619
106805470,1.68948,1.70559,1.69183
107883207,1.68706,1.71365,1.70029
108961611,1.68545,1.70881,1.70593
110039866,1.68545,1.70076,1.70593
111117084,1.69431,1.69753,1.67491
112196395,1.69028,1.69915,1.68901
113274169,1.68867,1.69995,1.69465
114354888,1.68706,1.70398,1.70029
115433791,1.69431,1.70801,1.67491
116512843,1.69995,1.70559,1.65517
117592598,1.69512,1.69189,1.67209
118671928,1.69189,1.69512,1.68337
119750942,1.68303,1.69834,1.71439
120829901,1.68948,1.71123,1.69183
121909601,1.69109,1.7072,1.68619
123008171,1.69431,1.69753,1.67491
124073242,1.69189,1.69431,1.68337
125153145,1.68867,1.69512,1.69465
126232901,1.69028,1.70881,1.68901
127312434,1.69109,1.71768,1.68619
128392282,1.69109,1.71606,1.68619
129471908,1.69512,1.71204,1.67209
130551848,1.69512,1.7064,1.67209
131630011,1.69673,1.70559,1.66645
132708970,1.69673,1.71687,1.66645
133825448,1.69673,1.71365,1.66645
134870648,1.69028,1.71606,1.68901
135950107,1.68706,1.70962,1.70029
137030140,1.69028,1.70801,1.68901
138109192,1.68787,1.70398,1.69747
139188910,1.68787,1.70559,1.69747
140268665,1.68867,1.71042,1.69465
141347884,1.68787,1.70479,1.69747
142427880,1.69028,1.70237,1.68901
143507876,1.69512,1.6927,1.67209
144589280,1.68867,1.69673,1.69465
145666313,1.69512,1.70559,1.67209
146743772,1.69189,1.70801,1.68337
147824435,1.69189,1.70156,1.68337
148902190,1.70156,1.69834,1.64953
149980390,1.70317,1.69673,1.64389
151057071,1.69512,1.70156,1.67209
152136493,1.68867,1.70237,1.69465
153216323,1.68706,1.70559,1.70029
154299004,1.69028,1.69753,1.68901
155378056,1.68867,1.69834,1.69465
156457941,1.69109,1.69753,1.68619
157556196,1.68706,1.71042,1.70029
158616452,1.68948,1.71606,1.69183
159695985,1.69431,1.70962,1.67491
